;tweet_RER_D;heure_du_tweet
233;a a bon ? comment tu sais que je vis chez mes parents alors ?…;2020-12-08 13:12:13
234;kelly je vous suggère d ’ être auditionnée non pas à l ’ assemblée nationale mais publiquement dans le rer b …;2020-12-08 12:50:36
235;tout est mis en œuvre pour dégager les voies du faisceau d ' austerlitz et du rer c et rétablir au plus vite le trafi …;2020-12-08 12:11:53
236;tout est mis en œuvre pour dégager les voies du faisceau d ' austerlitz et du rer c et rétablir au plus vite le trafi …;2020-12-08 12:10:48
237;"imaginez ma déception quand , encore jeune étudiant , j ' ai découvert la vraie destination des rer "" nice ' ( d ) et "" bali …";2020-12-08 11:49:39
238;a ok . a houilles / carrières - sur - seine on a dit à une dame qu ' il fallait que la personne se déplace ... c ' est just …;2020-12-08 11:08:26
239;bonjour , en effet , le trafic est perturbé sur l ' ensemble de la ligne , en répercussion notamme …;2020-12-08 11:07:28
240;? le trafic est perturbé sur l ' ensemble de la ligne en raison d ' un incident de signalisation à poissy et d ' un baga …;2020-12-08 10:33:21
241;c ' est déjà noël . le rer vélo imaginé par ( 30 associations dont ) est devenu bien reel . la rég …;2020-12-08 10:31:57
242;le trafic est interrompu entre auber et nation en raison d ' un bagage oublié à gare de lyon . reprise estimée à 12 : 15 . rera rt rer a;2020-12-08 10:13:40
243;? le trafic est perturbé en direction de marne - la - vallée – chessy • boissy - saint - léger en raison d ' un bagage oublié …;2020-12-08 10:09:32
244;le train actuellement à gare de lyon et en direction de torcy stationne en raison d ' un bagage oublié . rera rt rer a;2020-12-08 09:58:09
245;? - panne de signalisation ? mardi 8 décembre 2020 à 10h45 , en raison d ' une panne de signalisation , le trafic est …;2020-12-08 09:48:50
246;? le trafic est perturbé entre la défense et poissy en raison d ' un incident de signalisation à poissy . rera rt rer a;2020-12-08 09:43:39
247;embrouille entre quartier à corbeil . je me suis retrouvé dans le rer d , avec une dizaine de gars autour de moi et y …;2020-12-08 09:02:46
248;le train actuellement à nanterre – préfecture et en direction de poissy stationne en raison d ' un incident d ' exploitation . rera rt rer a;2020-12-08 08:57:10
249;le train actuellement à achères – ville et en direction de boissy - saint - léger stationne en raison d ' un incident voyageur . rera rt rer a;2020-12-08 08:35:28
250;comment le covid - 19 a boosté le développement du réseau de pistes cyclables en ile - de - france | 5 premières lignes d …;2020-12-08 08:18:01
251;y ’ a une brésilienne qui embrouille son mec dans le rer d c ’ est clairement terrible;2020-12-08 07:53:01
252;dans le rer d;2020-12-08 07:50:49
253;c ’ est incroyable quand même d ’ avoir des rer vides à 8h30;2020-12-08 07:30:28
254;? - panne d ' un train ( 1 ) ? mardi 8 décembre 2020 à 08h06 , en raison d ' un train en panne , le trafic est perturbé d …;2020-12-08 07:09:32
255;? le trafic est perturbé en direction de saint - germain - en - laye en répercussion d ' une panne mécanique à charles de …;2020-12-08 07:02:15
256;a d ’ accord merci . bonne journée milo;2020-12-08 05:52:41
257;;2020-12-08 01:07:43
258;l ’ envoyer bloquer le rer d;2020-12-07 22:51:09
259;le respect de la loi sru , c ' est éviter à une infirmière d ' habiter à des kilomètres de son travail , à …;2020-12-07 22:19:15
260;? sncfvousinforme suite à la chute de la poutre sur les voies du sncf;2020-12-07 22:00:40
261;ce que pense à chaque fois qu ’ il prend le rer d;2020-12-07 20:55:43
262;bref j ' ai atterri y a 1h , et je n ' ai pas quitté cdg , pour un vol intra - ue sans bagage ... râler sur les avions c ' es …;2020-12-07 19:29:52
263;usagersidf transilien …;2020-12-07 19:27:11
264;bonsoir rolah . 72 , non la circulation est interrompue sur cet axe suite à l ' incident du 1er décemb …;2020-12-07 18:04:19
265;le train actuellement à torcy et en direction de marne - la - vallée – chessy stationne en raison de difficultés d ' exploitation . rera rt rer a;2020-12-07 17:51:48
266;rerb faride excepté une meilleure desserte locale ( branche mitry à aéroport cdg ) ç …;2020-12-07 17:24:26
267;ptdrrrr aller ce sal rer evidemment les seuls arrets qu ' il desservira pas sont exactement ceux que j ' fais , tout ça …;2020-12-07 17:23:09
268;? - signal d ' alarme ? lundi 7 décembre 2020 à 18h17 , en raison d ' un actionnement d ' un signal d ' alarme , le trafic …;2020-12-07 17:22:46
269;puré le rer d je peux plus vivement que le rer revienne à la normale;2020-12-07 17:15:43
270;merci pour ce partage je regarderai ça demain ds le rer d;2020-12-07 17:14:10
271;sinon actuellement bagage suspect dans le rer en face de ma voie vive le rer d !;2020-12-07 17:03:56
272;? en raison d ' un bagage oublié à quai , les trains ne marquent pas l ' arrêt en gare de luxembourg dans les deux sen …;2020-12-07 16:56:45
273;peray julien a ma connaissance si : “ le déraillement d ’ une rame d …;2020-12-07 16:52:50
274;les rer c c ’ est de la chiasse 20 min d ’ attende . fuck epinay . rt uzuraa;2020-12-07 16:48:28
275;m77 peray julien étonnant , donc à brétigny - sur - orge , si le train roulait p …;2020-12-07 16:30:33
276;nouvelle proposition de : des transports publics écologiques . pour ce faire , rien de mieux que le tran …;2020-12-07 16:19:59
277;4 / 5 itinéraires alternatifs : pour vos trajets entre paris et le sud de la ligne , nous vous conseillons de p …;2020-12-07 16:15:19
278;bonjour je n ' arrive pas à savoir si le rer b fonctionne normalement demain . pouvez vous m ' aider svp et me dir …;2020-12-07 16:14:28
279;images . chute d ' une poutre sur les voies du rerc à paris : les voies dégagées en milieu de semaine via;2020-12-07 16:10:49
280;le train actuellement à bussy - saint - georges et en direction de marne - la - vallée – chessy stationne en raison de l ' acti …;2020-12-07 15:30:44
281;mdrrr y ’ a des contrôleurs en civil dans le rer d mnt ??;2020-12-07 15:27:43
282;le rer v est une excellente idée qui aurait déjà marinée d ’ être e …;2020-12-07 15:14:40
283;le calendrier de mise en concurrence des transilien se dévoile . la concurrence a quelques vertus mais on est bien c …;2020-12-07 14:47:52
284;? le trafic est perturbé sur l ' ensemble de la ligne , en raison d ' un incident affectant la voie . rera rt rer a;2020-12-07 14:30:39
285;j ’ ai lu aussi des kilos de rapporte parlementaires ( en ligne et gratuit !), des études soci …;2020-12-07 13:08:49
286;le train actuellement à cergy - préfecture et en direction de boissy - saint - léger stationne en raison d ' une gêne à la …;2020-12-07 12:55:22
287;rer d comme démon c ’ est la ligne du diable frérot;2020-12-09 09:47:26
288;un ami loue au plus vite studio 27m2 meublé neuf avec terrasse à alfortville ( ligne 8 - rer d - bus ) - 930 € cc - p …;2020-12-09 09:28:42
289;villiers - malesherbes : 1 heure dans le rer d . ?? j ’ en ai vu du paysage;2020-12-09 09:23:43
290;bonjour , le train que vous avez vu partir est très certainement un rer c . le …;2020-12-09 09:16:34
291;rer b et d c ' est clairement les portes des enfers !!!!;2020-12-09 09:02:59
292;paris - normandie en bus ou paris - gap ( plus un petit village à côté ) en bus également . sarcelles - corbeil rer d;2020-12-09 09:01:08
293;a une époque moi et raf on faisait souvent saint denis - savigny en rer d en pleins été on se mettait en …;2020-12-09 08:40:18
294;y ’ aurai pas eu le direct de gare de lyon jamais j ’ aurai bossé la bas ! mais qd t ’ es obligé d …;2020-12-09 08:34:14
295;;2020-12-09 08:32:14
296;"le jour ou j ’ ai le + souffert en transport quand j ’ ai du faire melun - gdn en rer d pendant la canicule & amp ; amp ; greve …";2020-12-09 08:31:58
297;"le jour ou j ’ ai le + souffert en transport quand j ’ ai du faire melun - gdn en rer d pendant la canicule & amp ; greve al …";2020-12-09 08:30:52
298;? - panne de signalisation ? mercredi 9 décembre 2020 à 09h19 , en raison d ' une panne de signalisation , le trafic …;2020-12-09 08:23:38
299;bonjour , effectivement , un incident affectant la signalisation à hauteur d ' achères – ville perturbe momen …;2020-12-09 08:17:24
300;? le trafic est perturbé de cergy – le haut à nanterre – préfecture en raison d ' un incident de signalisation à achères – ville . rera rt rer a;2020-12-09 08:15:19
301;"a rera cergy en direction de paris est retenu en gare de conflans depuis plusieurs minutes pour raison de ""…";2020-12-09 08:13:14
302;rer d n ’ en parlons même pas j ’ ai trop le mort;2020-12-09 08:11:45
303;paris : après la chute d ’ une poutre sur les voies , le rerc restera perturbé jusque mi - décembre . rt sophie sylvain1;2020-12-09 08:09:05
304;paris : après la chute d ’ une poutre sur les voies , le rerc restera perturbé jusque mi - décembre .;2020-12-09 08:07:45
305;il dit ça comme si yavais pas le rer d et le c;2020-12-09 07:51:00
306;se faire rire soi même sah quel plaisir . jviens d ’ imaginer une scène où les gens de mon équipe couraient tous derri …;2020-12-09 07:43:51
307;je ne travaille pas dans le 16eme je parle du métro je ne connais pas l …;2020-12-09 07:35:43
308;? - incident voyageur ? mercredi 9 décembre 2020 à 08h23 , en raison d ' un incident voyageur , le trafic est perturb …;2020-12-09 07:31:52
309;? le trafic est perturbé de cergy – le haut à nanterre – préfecture en raison d ' un incident voyageurs à cergy – préfecture . rera rt rer a;2020-12-09 07:19:26
310;a ah d ' accord ! merci de l ' info;2020-12-09 07:13:33
311;le train actuellement à cergy – préfecture et en direction de boissy - saint - léger stationne en raison d ' un incident voyageurs . rera rt rer a;2020-12-09 07:13:14
312;a oui je comprends bien cela mais aujourd ’ hui rien avoir avec les jours d ’ avant . tout le monde s ’ en est pleins ...;2020-12-09 07:02:19
313;[ c ’ était un 9 decembre 1977 ] cejourla inauguration officielle du rer ( réseau express régional ) par valéry giscard …;2020-12-09 06:55:02
314;a est ce normal d ’ avoir la clim dans les rer a ? actuellement dans le métro 1 et rien à voir .;2020-12-09 06:47:25
315;le rer a et ses bonnes surprises : on annonce 7 min d ’ attente car un train sans arrêt doit passer avant . le fameux …;2020-12-09 06:36:21
316;si j ’ ai le droit de prendre les transports et d ’ être plus serré dans le rer a que dans la fosse d ’ une salle de conc …;2020-12-09 06:25:52
317;le train actuellement à châtelet – les halles et en direction de boissy - saint - léger stationne en raison d ' une gêne à …;2020-12-09 05:44:32
318;a moi j ' aurais dit c ' est la clim , il fait grave froid , je suis à la tête du train je peux vous dire c ' est très …;2020-12-09 05:44:24
319;bonjour , les départs de marne - la - vallée – chessy et de boissy - saint - léger sont effectués à l ' heure ,…;2020-12-09 05:09:36
320;? le trafic est très perturbé en direction de marne - la - vallée – chessy • boissy - saint - léger en raison d ' une fin tard …;2020-12-09 05:03:27
321;tu vas accoucher dans le rer d tu me racontes quoi la;2020-12-09 00:58:39
322;oui , j ' ai chu;2020-12-09 00:13:07
323;voilà le type de message qui explose à force de supprimer le personnel dans les gares . les accidents de personnes s …;2020-12-08 23:58:43
324;montreuil - melun , je prenais le rer d au lieu de la ligne r parce que je ne savais pas où ça se trouvait , une galè …;2020-12-08 23:18:56
325;je ne remettrai plus jamais un pied dans le rer d . ça va pas ou quoi;2020-12-08 23:16:01
326;donc ça va largement comparé au rer d !;2020-12-08 23:08:17
327;30 minutes d ' attente pour mon rer je veux die;2020-12-08 22:36:33
328;cwpro on vire tout le monde en gardant les bâtiments ( sauf les moches qu ’ on voit du rer d qui ressemblent à une …;2020-12-08 22:30:31
329;"evry à les ulis . ça prend 28 min par voiture mais 2h par train s ’ il y a aucune interruption . faut changer rer d -& gt ;…";2020-12-08 21:27:56
330;"evry à les ulis . ça prend 28 min par voiture mais 2h par train sans interruption . faut changer rer d -& amp ; gt ; rer c -& amp ;…";2020-12-08 21:24:06
331;nan en vrai ça va , merci rer d je voulais pas pleurer ce soir ça tombe bien;2020-12-08 20:32:32
332;? - accident de personne ? mardi 8 décembre 2020 à 21h14 , en raison d ' un accident grave de personne , le trafic es …;2020-12-08 20:16:38
333;montreuil - malesherbes terminus du rer d dans le 45 ... plus jamais;2020-12-08 19:52:07
334;ok reste calme ... le rer d je vais te baiser ta mère la pute je vais rater un match qui faut pas ( je supprimerai ça quand je serai calme );2020-12-08 19:36:05
335;? - incident d ' exploitation ? mardi 8 décembre 2020 à 20h25 , en raison d ' un incident d ' exploitation , le trafic es …;2020-12-08 19:31:01
336;les 3 jours de partiel la semaine prochaine , 3 jours consécutifs de réveil à 6h , de froid , 3 jours consécutifs de r …;2020-12-08 19:28:32
337;le paris - melun avec le rer d pdt les grèves c ’ était affreux plus jamais vive le ter 25min carré rt asmarlequin;2020-12-08 19:08:41
338;le paris - melun avec le rer d pdt les grèves c ’ était affreux plus jamais vive le ter 25min carré;2020-12-08 19:07:15
339;aujourd ’ hui j ’ ai pris le rer a pour absolument aucune raison , je suis descendu à un arrêt pour absolument aucune ra …;2020-12-08 19:04:58
340;sarcelles - evry , rer d;2020-12-08 18:56:26
341;pourquoi c ’ est toujours sur le rer d que y a des problèmes ?! ptn mais c ’ est fou quand même;2020-12-08 18:53:00
342;best conducteur dans le rer d bloqué entre gare de lyon et maisons alfort qui nous fait passer le temps en nous con …;2020-12-08 18:45:51
343;best conducteur dans le rer d bloqué entre gare de lyon et maisons alfort qui nous fait passer le temps en nous con …;2020-12-08 18:44:19
344;mdr rer d .. je saute ou pas ?;2020-12-08 18:35:42
345;y ’ a t ’ il un jour où le rer d ça fonctionne . ? en 2020 cette ligne c ’ est la pire sncf;2020-12-08 18:25:18
346;le rer d est horrible franchement j ’ en est marre;2020-12-08 18:19:56
347;ceo of dormir dans le rer d ça ronfle de gard du nord à montgeron quel bonheur;2020-12-08 18:05:11
348;paris : après la chute d ’ une poutre sur les voies , le rer c restera perturbé jusque mi - décembre via parisien;2020-12-08 17:55:50
349;""" ohlala c ' est dur de prendre le rer "" grosse timpe , j ' ai dû prendre la a , b , c et d pour venir";2020-12-08 17:43:18
350;j ’ ai fait 6h de marche pour un trajet de rer d ’ à peu près 1h;2020-12-08 17:37:42
351;paris : après la chute d ’ une poutre sur les voies , le rer c restera perturbé jusque mi - décembre …;2020-12-08 17:31:55
352;paris : après la chute d ’ une poutre sur les voies , le rer c restera perturbé jusque mi - décembre …;2020-12-08 17:14:45
353;? infotrafic ligne5 problème d ' exploitation sucy - bonneuil - rer vers boissy - saint - léger départ de 19h08 non effectué .;2020-12-08 17:10:20
354;? infotrafic ligne5 problème d ' exploitation boissy - saint - léger vers sucy - bonneuil - rer départ de 18h29 non effectué .;2020-12-08 17:09:47
355;paris : après la chute d ’ une poutre sur les voies , le rer c restera perturbé jusque mi - décembre …;2020-12-08 17:08:18
356;paris : après la chute d ’ une poutre sur les voies , le rer c restera perturbé jusque mi - décembre …;2020-12-08 17:05:49
357;mon tgv est à 10h09 ... pour l ' heure il faut que je trouve un rer d;2020-12-08 17:04:38
358;blanc mesnil - nanterre plus de rer b . bus de remplacement , de surcroît téléphone sans batterie 3h de trajet pas …;2020-12-08 17:03:41
359;« ça embête tout le monde » : toujours aucune date prévue pour la reprise du trafic entre juvisy et paris sur la li …;2020-12-08 17:03:07
360;bonsoir johanna , en heure de pointe le trafic est dense d ' où ces ralentissements …;2020-12-08 16:55:49
361;garges / evry pendant 2 ans . 1h15 sans pause dans le rer d . aller / retour chaque jour pour aller et rentrer des co …;2020-12-08 16:53:44
362;si vous passez une mauvaise journée dites vous que je me faisais prêter un appartement par un pote à cause des souc …;2020-12-08 16:44:51
363;3km d ' écart entre ces 2 lieux et l ' opération était exactement la même , désolé si la population …;2020-12-11 15:18:59
364;le rer d il emmène en enfer je crois c ’ est terrible le monde;2020-12-11 15:16:34
365;le train actuellement à val de fontenay et en direction de marne - la - vallée – chessy stationne en raison de l ' actionne …;2020-12-11 15:00:11
366;le train actuellement au vésinet - le pecq et en direction de marne - la - vallée – chessy stationne en raison d ' une gêne à …;2020-12-11 14:35:21
367;quand je suis arrivé à paris , en 1982 , ce rer b , dont le tronçon central venait d ' être ouvert , semblait une merveil …;2020-12-11 14:08:37
368;quand je suis arrivé à paris , en 1982 , ce rer b , dont le tronçon central venait d ' être ouvert , semblait une merveil …;2020-12-11 14:06:50
369;annonce de vente : maison poissy 5 pièce ( s ) 126 m2 - poissy |: a 20 min à pied de la gare rer / sncf de poissy dans u …;2020-12-11 13:38:03
370;je le répète : allez vous faire foutre . quelle journée de merde . déjà ce matin j ’ ai eu des problèmes de transports .…;2020-12-11 13:36:43
371;mdrr je me régale moi . pas d ’ amphi , pas de rer ou de metro en heure de pointe , des bonnes grasse mat;2020-12-11 13:15:00
372;le rer d mais quelle misère;2020-12-11 12:25:50
373;on peut aussi ajouter à ce constat que la puissance publique ne sait / peut plus se mettre en exécution ( pas uniqueme …;2020-12-11 11:51:23
374;j ’ ai même pas le rer d qui a glow up;2020-12-11 11:42:25
375;ton visage on dirais le rer d on veux pas de toi frère .;2020-12-11 11:38:30
376;eh mais y ’ a le chauffage dans les rer d où y ’ a le port usb putain je revis;2020-12-11 11:25:42
377;alors bien sûr , on peut regretter l ' imbrication des travaux , probablement trop inextricable pour être honnête . mais …;2020-12-11 11:20:56
378;le lobby cdgexpress et aéroports de paris ( adp ), le gestionnaire d ’ infrastructure , s ' assoient sur la décision du t …;2020-12-11 11:12:09
379;soyons demain à 14h30 pour manifester contre les lois liberticides et contre l ' islamophobie …;2020-12-11 10:43:09
380;la poutre de 300 tonnes qui s ’ est écroulée le 1er décembre sur les voies du rer c entre les stations austerlitz et …;2020-12-11 09:59:52
381;petit oublié d ' un w qui fait toute la différence !;2020-12-11 09:35:10
382;bachelot alors dites ça au ministre des transports ... rer et métros blin …;2020-12-11 09:34:28
383;annonce de vente : maison andrésy 3 pièce ( s ) 39 . 55 m2 * secteur fin d ' oise .! rer a - andresy |…;2020-12-11 09:17:33
384;c est plus ke ds le cinéma , sa fait 2 semaines ke ns vivons cela depuis l incident d rer c à paris austerli …;2020-12-11 08:52:03
385;le terminus du rer d .;2020-12-11 08:40:49
386;bon that ’ s it the world has progressed passed the need for rer d;2020-12-11 08:29:21
387;"eole "" ce n ' est pas un chantier mais 10 en même temps » dixit dir d ' opération du secteur défense . c …";2020-12-11 08:28:12
388;my life is a joke ma relation avec le rer d aura vraiment été une relation toxique jusqu ' au bout;2020-12-11 07:55:05
389;mais va bien te faire enculer le rer d . tous les jours , je dis bien tous les jours y a un truc . ça fait 1 semaine j …;2020-12-11 07:50:40
390;le train actuellement à noisiel et en direction de saint - germain - en - laye stationne en raison de l ' actionnement d ' un …;2020-12-11 07:42:50
391;au vu du monde dans le rer , pas mal d ' employeurs au lendemain des annonces gouvernementales ont dit fuck le télétra …;2020-12-11 07:26:56
392;ce matin je suis parti avec 1 rer d ' avance pour mon partiel , et la c ' est comme si j ' avais un rer de retard c ' est quoi cette merde ?;2020-12-11 07:25:54
393;[ save the mate ] après la video sur cyberpunk2077 recommlandée par , tenter l ' itw d ' anand pandian . l '…;2020-12-11 07:25:07
394;sncf allez vs faire foutre ts autant que vs êtes ! quand est - ce que vs allez respecter les usagers ? d pannes , i …;2020-12-11 07:18:43
395;amis cyclistes usagés du rer b de ! n ' ayez plus plus peur pour votre beau vélo . abonnez - vous au pa …;2020-12-11 06:40:30
396;des voyageurs qui remportent leur trajet sur la ligne de du rer ? les trains sont bondés sans possibilité de respec …;2020-12-11 06:30:57
397;bonjour , votre train poma circule actuellement avec un retard d ' environ 5 minutes en conséquence d ' une …;2020-12-11 06:27:55
398;trouvez vos cadeaux et votre repas de noël à saint - maur ! les parkings du marché d ' adamville , diderot , la louvi …;2020-12-11 06:00:00
399;faut le titan bestial pour les 2 ( il a tjrs le wagon du rer d derrière la tête );2020-12-11 02:24:17
400;anecdote 2014 - 2015 : avant je bosser à st denis ( gabriel péri ) et tout les jours je prenais le rer d après je prena …;2020-12-11 01:06:02
401;je viens de voir mes memories y ’ a 1 ans jour pour jour le bébé qui est née dans le rer d à villeneuve il a eu 1 ans …;2020-12-11 00:18:24
402;heureusement que le e de rer veut dire express;2020-12-10 22:02:48
403;encommun hidalgo des transports de qualité ? rer bondés , metro parmi les plus sales d ’ europ …;2020-12-10 21:23:56
404;rediff tous les trains du rer b renouvelés pour 2 , 5 milliards d ’ euros;2020-12-10 21:09:21
405;sur le maillot 95 numéroté , banlieue nord goussainville rer d niamorodé !;2020-12-10 20:19:31
406;;2020-12-10 19:45:08
407;dans le rer d ? ça peut même être un truc vital ... bon chance;2020-12-10 19:42:21
408;n ’ est - ce pas j ’ ai fait l ’ erreur d ’ ouvrir la story privée de chris enza dans le rer ?! en plus sans écouteur le porno …;2020-12-10 16:52:12
409;paris hidalgo …;2020-12-10 16:48:00
410;heureusement ajrd il y a pas de soucis avec le rer d;2020-12-10 16:44:20
411;sncf c ’ est pas normal d ’ attendre 11 min un rer d aux heures de pointes ( 17h ) à châtelet ! honte à vous ! rt lochrisvlb;2020-12-10 16:41:58
412;breakingnews pour info , les panneaux d ' info sur le rer a dans les stations proches du parc disneyland , qui indiqua …;2020-12-10 15:58:25
413;dites vous thomas il a répondu au sondage d ’ un mec ratp , en « ponctualité du rer b » il a mis 10 / 10 , 0 vanne ce mec dort la nuit;2020-12-10 15:54:30
414;nous avons signalé hier en cm que de blr risquait d ' être déconnectée de la future ligne b du rer v …;2020-12-10 15:40:47
415;sncf bonjour , est - ce qu ’ il y a des bus qui font le trajet paris austerlitz / savigny sur orge ? ou qui parten …;2020-12-10 15:18:03
416;r94 hidalgo belliard alors il me semble …;2020-12-10 15:07:54
417;asselineau on oublie de dire qu ' il avait une panne hier soir sur le rer d manipulation;2020-12-10 15:06:02
418;le rer d ????;2020-12-10 14:55:37
419;"j ’ ai fait persan - beaumont & gt ; brétigny sur orge aussi ehhh la d j ’ avais pris le dernier train de beauvais j …";2020-12-10 14:15:40
420;? images . chute d ' une poutre sur les voies du rerc à paris : les voies totalement dégagées rt actufrparis;2020-12-10 14:00:25
421;? images . chute d ' une poutre sur les voies du rerc à paris : les voies totalement dégagées;2020-12-10 13:58:47
422;le train actuellement à son terminus à torcy stationne en raison de difficultés d ' exploitation . rera rt rer a;2020-12-10 13:53:08
423;les hétéros ya pas a mettre autant de déodorant le boug vient d ’ infester tout le rer avec son axe parfum beauf;2020-12-10 13:19:55
424;alerte info : ouverture prochaine d ' une tente de dépistage gratuit du covid 19 à la hauteur de la station de …;2020-12-10 13:09:40
425;ptdrrr je pleure de rire en 1 an et demi de rer d tous les jours j ’ ai jamais vu les contrôleurs , même pas une seule …;2020-12-10 12:56:10
426;""" ile - de - france mobilités va renouveler tous les trains du rer b pour 2 , 5 milliards d ’ euros "" ( via ) …";2020-12-10 12:45:09
427;le rer d là comment il prend son temps pour arriver à gare de lyon t ’ as le temps de faire un aller retour paris marseille;2020-12-10 12:30:14
428;le rer d je le mets dans le même panier que la police ça parle bcp pour pas bcp d ’ actes;2020-12-10 12:01:58
429;le train actuellement à nation et en direction de saint - germain - en - laye stationne en raison de l ' actionnement d ' un …;2020-12-10 11:43:46
430;ptdr val d ’ europe , eurodisney , un autre fuseau horaire , des chemises , pour le bled . val d ’ europe . the end of the rer a rt fatima46yamaha;2020-12-10 11:07:32
431;chasseaupatrimoine | la gare d ' epinay - sur - seine dessert la ligne c du rer depuis 1988 . depuis 2017 , la gare est …;2020-12-10 10:28:50
432;ça pue le pipi . qui a fait pipo sut lui dans le rer d ??!???;2020-12-10 10:08:02
433;? - bagage oublié ? jeudi 10 décembre 2020 à 10h51 , en raison d ' un bagage oublié , le trafic est perturbé entre le …;2020-12-10 09:56:08
434;là vous voyez le résultat de problèmes sur le rer d alors qu ' il doit aussi prendre en ch …;2020-12-10 09:51:01
435;gare de lyon - paris ( rer d ) , mercredi 09 décembre 2020 . le virus circule que dans les salles de sports - cinémas - r …;2020-12-10 09:29:16
436;gare de lyon - paris ( rer d ) , mercredi 09 décembre 2020 . le virus circule que dans les salles de sports - cinémas - r …;2020-12-10 09:27:06
437;c ’ est un tweet ironique ? un rer en panne provoquant un attroupement de passagers sur un quai . en quoi …;2020-12-10 08:51:06
438;et dire que bientôt je devrait reprendre le rer d;2020-12-10 08:47:00
439;waaa les gens dans le rer ils sont devant la porte ils ont peur d ’ appuyer sur le bouton j ’ ai envie de les balayer a …;2020-12-10 08:23:35
440;lancon bondé dans un rer d direction paris ... le comme avant mais masqué .;2020-12-10 08:11:05
441;le train actuellement entre nanterre – préfecture et nanterre – université en direction de la défense stationne en rais …;2020-12-10 08:02:08
442;mdr le rer d c ’ est un poison;2020-12-10 07:05:42
443;si chaque jours y ’ a pas un problème sur le rer d et b les gens meurent ou c ’ est comment vraiment courage ceux qui …;2020-12-10 07:04:52
444;hier soir , rer b et d . entre la plaine et gare de lyon . panne sur le b . des centaines d ' usagers électeu …;2020-12-10 06:53:43
445;fr hier soir , rer b et d . entre la plaine et gare de lyon . panne sur le b . des centaines d ' usagers électe …;2020-12-10 06:51:38
446;le train actuellement à lognes et en direction de rueil - malmaison stationne en raison d ' un bagage oublié . rera rt rer a;2020-12-10 06:41:20
447;villejuif - malesherbes ( dans le 45 et oui le rer d va jusqu ' à là bas ) rt jsh948;2020-12-10 06:36:08
448;je me suis levée à 5h pour avoir des trains supprimés des trains terminus gare de lyon ??? putain le rer d;2020-12-10 06:02:00
449;panne rer d confusion totale;2020-12-10 05:44:31
450;plus de rer d;2020-12-10 05:42:08
451;clamart - corbeil - essones ... ce jour - là j ' ai dis plus jamais le rer d;2020-12-10 05:06:56
452;paris : après la chute d ’ une poutre sur les voies , le rer c restera perturbé jusque mi - décembre – le parisien …;2020-12-10 01:55:37
453;une fois j ' me suis retrouvé dans un rer avec une lettre d ' alphabet tellement loin je savais même pas qu ' elle exista …;2020-12-10 00:45:34
454;franchement n ' importe quel trajet dans le rer d je vous jure vers gare de lyon j ' avais trop peur;2020-12-10 00:35:57
455;quand ma femme me dit viens on achète une plus grosse maison plus loin j ' ai des flash de rer d je suis pas encore prêt;2020-12-10 00:24:32
456;igor il aime trop demander c ' est quand le dernier rer et puis quand c ' est le dernier rer commencer une partie d ' échecs sans timer;2020-12-10 00:22:47
457;manigold le virus ne se transmet pas en se touchant mais en se parlant , sans . donc rer , files d …;2020-12-09 23:02:38
458;• l ' infotrafic rer d : fin de l ’ incident . reprise progressive du trafic 23 : 18 rerd rt rerd sncf;2020-12-09 22:19:37
459;rer d . instancation s ..;2020-12-09 21:24:46
460;j ' en peux plus je te jure , le rer c qui fonctionne pas le d de merde , heureusement que j ' ai plusieurs …;2020-12-09 21:11:11
461;javoue c chaud mais jte jure le rer d c ’ est une mort brutale mais dont tu renais , le distanciel c ’ est une longue agonie;2020-12-09 21:05:09
462;bonjour , je vous ai envoyé un message privé avec les informations demandées voilà déjà un …;2020-12-09 21:00:00
463;vous voyez le rer d;2020-12-09 20:53:18
464;allooo hidalgo et . depuis plusieurs jours la ligne c du rer est coupée . venez tester …;2020-12-09 20:47:48
